,langname,glottocode,word,count,id,year,simple_elaboration,regression_elaboration,dictsize_data,countryname,bila_language_name_mapping,response_mean,response_std,dictionary_count_mean
448,Persian,west2369,relief,35.0,mdp.49015002913532,1986.0,0.000523709057174,5.1188156000327325,66831.0,Iran,Persian,2.8532608695652173,1.690600894690142,9.822310405643739
449,Persian,west2369,sadness,8.0,mdp.49015002913532,1986.0,0.000119704927354,0.3489468774307686,66831.0,Iran,Persian,3.556149732620321,1.8810892917924351,9.822310405643739
450,Russian,russ1263,admiration,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.6096967596077437,30822.0,Kazakhstan,Russian,2.4388489208633093,1.9584680814836293,4.357082273112807
451,Russian,russ1263,anger,9.0,mdp.39015046500511,1999.0,0.0002919992213354,-2.7960002921878555,30822.0,Kazakhstan,Russian,2.5519713261648747,1.977386924588753,4.357082273112807
452,Russian,russ1263,anxiety,4.0,mdp.39015046500511,1999.0,0.0001297774317046,-1.256602065355523,30822.0,Kazakhstan,Russian,3.118279569892473,2.011743198954066,4.357082273112807
453,Russian,russ1263,boredom,4.0,mdp.39015046500511,1999.0,0.0001297774317046,2.405940630642487,30822.0,Kazakhstan,Russian,2.5017921146953404,2.121955376179893,4.357082273112807
454,Russian,russ1263,compassion,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-1.1503799904497063,30822.0,Kazakhstan,Russian,3.6021505376344085,1.7556063431000595,4.357082273112807
455,Russian,russ1263,confusion,14.0,mdp.39015046500511,1999.0,0.0004542210109661,0.5026710770469658,30822.0,Kazakhstan,Russian,2.620071684587814,2.0265571316379107,4.357082273112807
456,Russian,russ1263,determination,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.7614999949078911,30822.0,Kazakhstan,Russian,3.283154121863799,1.7838512459081093,4.357082273112807
457,Russian,russ1263,disgust,4.0,mdp.39015046500511,1999.0,0.0001297774317046,-0.4900874005210027,30822.0,Kazakhstan,Russian,1.5232974910394266,1.83843709654242,4.357082273112807
458,Russian,russ1263,fear,10.0,mdp.39015046500511,1999.0,0.0003244435792615,-3.54207744729496,30822.0,Kazakhstan,Russian,2.276978417266187,1.9797464209411404,4.357082273112807
459,Russian,russ1263,frustration,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,0.9815337026269356,30822.0,Kazakhstan,Russian,2.6021505376344085,2.07835600989715,4.357082273112807
460,Russian,russ1263,gratitude,2.0,mdp.39015046500511,1999.0,6.488871585231328e-05,-0.5936326303489353,30822.0,Kazakhstan,Russian,3.3763440860215055,1.8693705620997454,4.357082273112807
461,Russian,russ1263,hope,1.0,mdp.39015046500511,1999.0,3.244435792615664e-05,-1.2463939565604425,30822.0,Kazakhstan,Russian,3.759856630824373,1.7699636161212247,4.357082273112807
